Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Modifier 1,Comment,Status
128.293,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,START
129.294,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,STOP
132.045,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,START
132.934,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shooting out,Restrained aggression,None,,POINT
133.545,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,STOP
144.750,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shell escape,Escape,,,POINT
145.181,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shell,Presence,,,START
145.292,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_1,shell,Presence,,,START
145.292,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_1,shell escape,Escape,,,POINT
145.543,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,shell,Presence,,not home shell,START
145.546,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,START
151.295,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,STOP
171.792,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,shell,Presence,,,STOP
174.182,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shell,Presence,,,STOP
191.298,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,START
193.548,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
197.794,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
199.417,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,operculum spread,Restrained aggression,presentation fish,,POINT
199.665,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
200.543,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,operculum spread,Restrained aggression,presentation fish,,POINT
201.167,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,attempted attack,Overt aggression,,,POINT
202.546,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
204.169,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,attempted attack,Overt aggression,,,POINT
210.296,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
210.417,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
210.417,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,operculum spread,Restrained aggression,presentation fish,,POINT
211.543,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
212.043,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,tail beat,Restrained aggression,group male,,POINT
213.415,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,tail beat,Restrained aggression,presentation fish,,POINT
214.415,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
215.793,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
217.043,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,tail beat,Restrained aggression,group male,,POINT
217.543,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
219.045,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,STOP
221.167,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,attempted attack,Overt aggression,,,POINT
221.543,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
223.415,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
223.415,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,operculum spread,Restrained aggression,presentation fish,,POINT
224.793,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
226.543,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
227.543,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
227.666,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,operculum spread,Restrained aggression,presentation fish,,POINT
228.166,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,tail beat,Restrained aggression,presentation fish,,POINT
228.543,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
229.667,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
235.047,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_1,shell,Presence,,,STOP
243.293,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
243.415,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shooting out,Restrained aggression,presentation fish,,POINT
243.417,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,operculum spread,Restrained aggression,presentation fish,,POINT
243.667,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
249.043,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
250.917,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
250.917,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,operculum spread,Restrained aggression,presentation fish,,POINT
251.166,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shooting out,Restrained aggression,presentation fish,,POINT
260.043,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
264.043,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
265.417,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shooting out,Restrained aggression,presentation fish,,POINT
265.792,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
265.792,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,operculum spread,Restrained aggression,presentation fish,,POINT
265.916,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
265.916,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,operculum spread,Restrained aggression,presentation fish,,POINT
266.292,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
266.416,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,attempted attack,Overt aggression,,,POINT
268.916,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,tail beat,Restrained aggression,presentation fish,,POINT
269.416,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
269.792,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
271.543,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,tail beat,Restrained aggression,presentation fish,,POINT
272.543,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,tail beat,Restrained aggression,group male,,POINT
273.543,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
274.043,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,attempted attack,Overt aggression,,,POINT
274.043,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,operculum spread,Restrained aggression,group male,,POINT
279.792,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,attempted attack,Overt aggression,,,POINT
280.665,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
281.293,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,tail beat,Restrained aggression,group male,,POINT
286.666,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,S-bend,Restrained aggression,presentation fish,,POINT
289.293,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
297.666,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shooting out,Restrained aggression,presentation fish,,POINT
299.296,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,attempted attack,Overt aggression,,,POINT
