Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
1087.118,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
1088.400,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,frontal,,,STOP
1088.600,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,bite,,,START
1089.267,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,bite,,,STOP
1089.867,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,START
1090.000,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,START
1091.367,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,STOP
1091.618,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
1093.951,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,STOP
1094.600,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
1095.451,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,START
1096.205,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,START
1096.701,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,frontal,,,STOP
1096.955,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,STOP
1097.702,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
1098.900,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,STOP
1132.533,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,head-down,,,START
1133.034,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,head-down,,,STOP
1134.035,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Right,lateral display,,,START
1136.371,D:/multi-terridef-record/no-pred/huy_multiterridefid162015cmnopred_190720_cropped.mp4,15158.500,30.0,Left,lateral display,,,START
